SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612739,CLE,Cleveland Cavaliers,0021900962,2020-03-10,CLE @ CHI,L,240,103,40,80,0.5,6,24,0.25,17,23,0.739,9,26,35,29,9,5,18,15,-5.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900954,2020-03-08,CLE vs. SAS,W,264,132,43,94,0.457,13,34,0.382,33,45,0.733,14,46,60,26,4,4,18,24,3.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900942,2020-03-07,CLE vs. DEN,W,239,104,42,76,0.553,12,28,0.429,8,12,0.667,8,31,39,32,8,2,21,17,2.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900917,2020-03-04,CLE vs. BOS,L,239,106,39,89,0.438,13,38,0.342,15,20,0.75,17,33,50,24,6,2,12,19,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900902,2020-03-02,CLE vs. UTA,L,238,113,42,91,0.462,17,41,0.415,12,18,0.667,11,25,36,28,10,1,6,18,-13.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900890,2020-02-29,CLE vs. IND,L,239,104,41,85,0.482,5,22,0.227,17,20,0.85,6,30,36,30,9,3,13,13,-9.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900883,2020-02-28,CLE @ NOP,L,241,104,43,95,0.453,11,31,0.355,7,12,0.583,10,24,34,27,7,2,14,13,-12.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900865,2020-02-26,CLE vs. PHI,W,242,108,41,78,0.526,11,24,0.458,15,17,0.882,9,39,48,24,5,4,18,16,14.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900849,2020-02-24,CLE vs. MIA,W,265,125,43,97,0.443,14,37,0.378,25,34,0.735,13,40,53,25,8,6,12,20,6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900838,2020-02-22,CLE @ MIA,L,240,105,38,79,0.481,13,36,0.361,16,22,0.727,11,29,40,29,8,2,24,18,-19.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900827,2020-02-21,CLE @ WAS,W,241,113,43,81,0.531,11,27,0.407,16,25,0.64,10,37,47,19,3,6,21,24,5.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900807,2020-02-12,CLE vs. ATL,W,240,127,48,94,0.511,10,28,0.357,21,25,0.84,17,38,55,25,8,6,17,22,22.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900791,2020-02-09,CLE vs. LAC,L,240,92,35,95,0.368,7,33,0.212,15,22,0.682,16,29,45,22,9,1,16,17,-41.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900760,2020-02-05,CLE @ OKC,L,242,103,41,89,0.461,15,38,0.395,6,11,0.545,9,36,45,31,4,2,19,24,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900742,2020-02-03,CLE vs. NYK,L,264,134,52,92,0.565,18,35,0.514,12,18,0.667,5,29,34,34,6,3,14,18,-5.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900730,2020-02-01,CLE vs. GSW,L,240,112,41,95,0.432,16,44,0.364,14,14,1.0,13,33,46,26,8,3,15,15,-19.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900714,2020-01-30,CLE vs. TOR,L,241,109,42,90,0.467,13,36,0.361,12,14,0.857,15,37,52,23,7,3,21,21,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900700,2020-01-28,CLE vs. NOP,L,242,111,42,97,0.433,11,34,0.324,16,18,0.889,14,32,46,25,7,2,11,20,-14.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900693,2020-01-27,CLE @ DET,W,239,115,48,96,0.5,9,24,0.375,10,13,0.769,11,34,45,25,9,6,13,21,15.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900682,2020-01-25,CLE vs. CHI,L,241,106,42,84,0.5,13,30,0.433,9,11,0.818,11,32,43,30,5,1,21,20,-12.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900666,2020-01-23,CLE vs. WAS,L,240,112,44,96,0.458,11,33,0.333,13,17,0.765,10,26,36,24,7,1,8,21,-12.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900643,2020-01-20,CLE vs. NYK,L,240,86,32,94,0.34,11,33,0.333,11,17,0.647,16,37,53,15,5,4,10,14,-20.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900631,2020-01-18,CLE @ CHI,L,240,116,40,73,0.548,15,29,0.517,21,23,0.913,7,29,36,27,5,5,27,18,-2.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900622,2020-01-17,CLE @ MEM,L,240,109,41,92,0.446,9,36,0.25,18,26,0.692,16,34,50,18,6,2,15,19,-4.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900603,2020-01-14,CLE @ LAC,L,241,103,38,91,0.418,14,37,0.378,13,15,0.867,8,32,40,25,5,6,13,21,-25.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900597,2020-01-13,CLE @ LAL,L,239,99,38,85,0.447,7,25,0.28,16,24,0.667,10,30,40,21,4,1,19,22,-29.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900582,2020-01-11,CLE @ DEN,W,240,111,44,89,0.494,12,37,0.324,11,13,0.846,12,43,55,22,5,1,14,19,8.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900563,2020-01-09,CLE @ DET,W,264,115,48,91,0.527,5,20,0.25,14,20,0.7,10,29,39,24,9,5,14,18,3.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900548,2020-01-07,CLE vs. DET,L,240,113,42,85,0.494,14,31,0.452,15,16,0.938,11,35,46,29,7,4,16,19,-2.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900536,2020-01-05,CLE vs. MIN,L,239,103,40,84,0.476,8,25,0.32,15,19,0.789,12,32,44,15,6,2,20,13,-15.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900527,2020-01-04,CLE vs. OKC,L,240,106,39,85,0.459,14,30,0.467,14,17,0.824,9,33,42,19,4,0,13,26,-15.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900508,2020-01-02,CLE vs. CHA,L,239,106,41,81,0.506,13,35,0.371,11,14,0.786,7,35,42,26,6,3,14,22,-3.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900500,2019-12-31,CLE @ TOR,L,240,97,37,87,0.425,10,38,0.263,13,16,0.813,8,33,41,21,5,4,14,19,-20.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900479,2019-12-28,CLE @ MIN,W,240,94,32,77,0.416,4,20,0.2,26,36,0.722,14,46,60,13,9,4,28,21,6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900466,2019-12-27,CLE @ BOS,L,240,117,44,85,0.518,9,23,0.391,20,29,0.69,6,32,38,22,7,3,11,17,-12.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900444,2019-12-23,CLE vs. ATL,W,240,121,50,96,0.521,11,29,0.379,10,12,0.833,7,36,43,19,8,6,23,16,3.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900420,2019-12-20,CLE vs. MEM,W,240,114,40,92,0.435,17,37,0.459,17,23,0.739,16,44,60,26,4,10,14,12,7.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900407,2019-12-18,CLE vs. CHA,W,240,100,40,74,0.541,7,26,0.269,13,17,0.765,10,38,48,25,7,3,23,21,2.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900395,2019-12-16,CLE @ TOR,L,240,113,44,90,0.489,12,35,0.343,13,17,0.765,9,30,39,30,6,1,10,15,-20.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900385,2019-12-14,CLE @ MIL,L,239,108,41,90,0.456,15,35,0.429,11,15,0.733,12,33,45,27,10,3,18,19,-17.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900368,2019-12-12,CLE @ SAS,W,266,117,44,96,0.458,15,45,0.333,14,20,0.7,11,39,50,22,6,3,18,22,8.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900356,2019-12-11,CLE vs. HOU,L,241,110,46,89,0.517,13,32,0.406,5,8,0.625,9,27,36,29,8,4,15,15,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900344,2019-12-09,CLE @ BOS,L,243,88,36,91,0.396,7,31,0.226,9,19,0.474,18,27,45,18,8,2,18,11,-22.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900332,2019-12-07,CLE @ PHI,L,240,94,36,96,0.375,9,35,0.257,13,17,0.765,11,24,35,20,4,0,17,17,-47.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900321,2019-12-06,CLE vs. ORL,L,240,87,35,83,0.422,10,34,0.294,7,10,0.7,10,35,45,22,9,7,16,19,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900299,2019-12-03,CLE vs. DET,L,240,94,38,90,0.422,8,27,0.296,10,14,0.714,12,28,40,16,6,6,13,11,-33.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900270,2019-11-29,CLE vs. MIL,L,241,110,44,88,0.5,17,34,0.5,5,10,0.5,8,33,41,32,7,1,14,22,-9.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900255,2019-11-27,CLE vs. ORL,L,240,104,37,81,0.457,11,34,0.324,19,22,0.864,12,37,49,20,5,0,25,15,-12.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900240,2019-11-25,CLE vs. BKN,L,239,106,40,94,0.426,13,32,0.406,13,20,0.65,12,33,45,24,5,4,10,14,-2.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900231,2019-11-23,CLE vs. POR,W,241,110,37,87,0.425,10,31,0.323,26,32,0.813,9,43,52,19,9,2,13,14,6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900221,2019-11-22,CLE @ DAL,L,241,101,37,86,0.43,12,29,0.414,15,17,0.882,8,26,34,23,3,3,10,15,-42.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900206,2019-11-20,CLE @ MIA,L,239,100,37,87,0.425,12,38,0.316,14,16,0.875,10,24,34,19,13,2,19,23,-24.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900189,2019-11-18,CLE @ NYK,L,240,105,36,76,0.474,17,36,0.472,16,30,0.533,10,31,41,18,2,1,19,26,-18.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900183,2019-11-17,CLE vs. PHI,L,240,95,34,90,0.378,6,25,0.24,21,24,0.875,11,31,42,14,9,5,14,21,-19.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900161,2019-11-14,CLE vs. MIA,L,242,97,36,85,0.424,8,32,0.25,17,21,0.81,11,30,41,18,14,2,18,16,-11.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900147,2019-11-12,CLE @ PHI,L,239,97,38,86,0.442,5,21,0.238,16,20,0.8,9,36,45,13,10,0,13,13,-1.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900136,2019-11-10,CLE @ NYK,W,240,108,36,82,0.439,8,28,0.286,28,31,0.903,9,36,45,20,11,2,14,19,21.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900118,2019-11-08,CLE @ WAS,W,240,113,41,90,0.456,6,27,0.222,25,29,0.862,17,31,48,18,10,5,12,17,13.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900098,2019-11-05,CLE vs. BOS,L,238,113,40,95,0.421,13,33,0.394,20,22,0.909,11,32,43,22,3,6,9,18,-6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900089,2019-11-03,CLE vs. DAL,L,240,111,39,96,0.406,18,48,0.375,15,22,0.682,12,29,41,24,9,4,9,14,-20.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900070,2019-11-01,CLE @ IND,L,240,95,32,87,0.368,11,32,0.344,20,25,0.8,3,42,45,20,9,1,16,21,-7.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900055,2019-10-30,CLE vs. CHI,W,240,117,41,78,0.526,10,24,0.417,25,31,0.806,10,37,47,25,3,7,17,21,6.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900046,2019-10-28,CLE @ MIL,L,238,112,45,100,0.45,12,39,0.308,10,12,0.833,10,38,48,19,2,3,11,22,-17.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900030,2019-10-26,CLE vs. IND,W,239,110,40,80,0.5,11,31,0.355,19,29,0.655,12,32,44,23,9,7,18,20,11.0
22019,1610612739,CLE,Cleveland Cavaliers,0021900005,2019-10-23,CLE @ ORL,L,240,85,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15,-9.0
12019,1610612739,CLE,Cleveland Cavaliers,0011900059,2019-10-15,CLE vs. BOS,L,239,95,33,77,0.429,11,39,0.282,18,27,0.667,5,27,32,19,5,1,18,25,-23.0
12019,1610612739,CLE,Cleveland Cavaliers,0011900046,2019-10-13,CLE @ BOS,L,240,72,26,79,0.329,7,40,0.175,13,18,0.722,10,32,42,11,6,3,27,20,-46.0
12019,1610612739,CLE,Cleveland Cavaliers,0011900037,2019-10-11,CLE @ DET,L,239,105,37,86,0.43,12,34,0.353,19,24,0.792,8,32,40,17,5,3,17,28,-4.0
12019,1610612739,CLE,Cleveland Cavaliers,0011900012,2019-10-07,CLE vs. SLA,W,237,120,46,89,0.517,13,38,0.342,15,17,0.882,10,32,42,27,14,6,14,18,31.0
22019,1610612739,CLE,Cleveland Cavaliers,1521900069,2019-07-12,CLE @ SAC,W,209,98,36,65,0.554,7,21,0.333,19,31,0.613,7,30,37,12,8,5,15,16,-0.4
22019,1610612739,CLE,Cleveland Cavaliers,1521900054,2019-07-10,CLE @ NOP,L,199,78,25,69,0.362,13,35,0.371,15,19,0.789,5,23,28,15,5,4,18,17,-22.2
22019,1610612739,CLE,Cleveland Cavaliers,1521900035,2019-07-08,CLE @ BOS,L,199,72,22,66,0.333,13,33,0.394,15,20,0.75,10,21,31,15,6,3,20,11,-17.0
22019,1610612739,CLE,Cleveland Cavaliers,1521900025,2019-07-07,CLE vs. CHI,W,201,82,29,66,0.439,8,26,0.308,16,22,0.727,9,26,35,17,10,1,10,11,7.0
22019,1610612739,CLE,Cleveland Cavaliers,1521900003,2019-07-05,CLE vs. MIN,L,200,75,26,64,0.406,6,24,0.25,17,23,0.739,4,28,32,16,3,4,15,25,-3.6
22019,1610612739,CLE,Cleveland Cavaliers,1621900005,2019-07-03,CLE @ MEM,L,201,68,22,60,0.367,10,35,0.286,14,19,0.737,3,26,29,15,9,3,17,12,-13.0
22019,1610612739,CLE,Cleveland Cavaliers,1621900004,2019-07-02,CLE @ UTA,L,200,71,24,74,0.324,8,29,0.276,15,22,0.682,6,27,33,13,6,0,6,14,-15.0
22019,1610612739,CLE,Cleveland Cavaliers,1621900001,2019-07-01,CLE vs. SAS,L,200,89,38,85,0.447,9,36,0.25,4,6,0.667,14,17,31,22,11,3,14,26,-8.0
42019,1610612742,DAL,Dallas Mavericks,0041900156,2020-08-30,DAL vs. LAC,L,241,97,38,90,0.422,11,37,0.297,10,17,0.588,8,34,42,20,5,3,12,15,-14.0
42019,1610612742,DAL,Dallas Mavericks,0041900155,2020-08-25,DAL @ LAC,L,238,111,38,85,0.447,12,37,0.324,23,33,0.697,7,24,31,19,8,6,13,22,-43.0
42019,1610612742,DAL,Dallas Mavericks,0041900154,2020-08-23,DAL vs. LAC,W,265,135,52,104,0.5,13,36,0.361,18,24,0.75,11,43,54,20,7,5,11,24,2.0
42019,1610612742,DAL,Dallas Mavericks,0041900153,2020-08-21,DAL vs. LAC,L,239,122,44,87,0.506,17,43,0.395,17,24,0.708,7,35,42,27,5,2,9,24,-8.0
42019,1610612742,DAL,Dallas Mavericks,0041900152,2020-08-19,DAL @ LAC,W,240,127,44,88,0.5,13,29,0.448,26,37,0.703,8,41,49,25,5,4,9,29,13.0
42019,1610612742,DAL,Dallas Mavericks,0041900151,2020-08-17,DAL @ LAC,L,240,110,37,81,0.457,15,43,0.349,21,24,0.875,5,36,41,18,9,2,21,21,-8.0
22019,1610612742,DAL,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,240,102,39,89,0.438,8,26,0.308,16,19,0.842,11,32,43,17,3,4,11,18,-26.0
22019,1610612742,DAL,Dallas Mavericks,0021901300,2020-08-11,DAL vs. POR,L,241,131,42,81,0.519,20,44,0.455,27,33,0.818,5,32,37,28,4,5,17,23,-3.0
22019,1610612742,DAL,Dallas Mavericks,0021901293,2020-08-10,DAL @ UTA,W,240,122,48,85,0.565,12,24,0.5,14,16,0.875,4,30,34,29,6,3,8,23,8.0
22019,1610612742,DAL,Dallas Mavericks,0021901284,2020-08-08,DAL vs. MIL,W,264,136,48,115,0.417,17,53,0.321,23,25,0.92,11,43,54,37,6,2,6,26,4.0
22019,1610612742,DAL,Dallas Mavericks,0021901271,2020-08-06,DAL vs. LAC,L,240,111,39,87,0.448,17,48,0.354,16,21,0.762,8,29,37,24,3,4,7,17,-15.0
22019,1610612742,DAL,Dallas Mavericks,0021901257,2020-08-04,DAL @ SAC,W,267,114,33,90,0.367,9,41,0.22,39,50,0.78,17,44,61,22,4,2,17,21,4.0
22019,1610612742,DAL,Dallas Mavericks,0021901249,2020-08-02,DAL @ PHX,L,240,115,38,93,0.409,6,31,0.194,33,37,0.892,10,39,49,22,8,5,8,22,-2.0
22019,1610612742,DAL,Dallas Mavericks,0021901238,2020-07-31,DAL vs. HOU,L,265,149,50,105,0.476,21,49,0.429,28,38,0.737,13,42,55,30,7,4,20,36,-4.0
12019,1610612742,DAL,Dallas Mavericks,0011900133,2020-07-28,DAL @ PHI,W,265,118,41,102,0.402,12,41,0.293,24,32,0.75,12,44,56,22,6,4,12,26,3.0
12019,1610612742,DAL,Dallas Mavericks,0011900120,2020-07-26,DAL vs. IND,L,240,111,39,90,0.433,15,38,0.395,18,26,0.692,7,37,44,27,5,4,12,18,-7.0
12019,1610612742,DAL,Dallas Mavericks,0011900107,2020-07-23,DAL @ LAL,W,241,108,40,74,0.541,14,38,0.368,14,22,0.636,8,29,37,21,3,4,14,28,4.0
22019,1610612742,DAL,Dallas Mavericks,0021900973,2020-03-11,DAL vs. DEN,W,240,113,42,92,0.457,12,35,0.343,17,23,0.739,13,39,52,23,9,2,10,14,16.0
22019,1610612742,DAL,Dallas Mavericks,0021900965,2020-03-10,DAL @ SAS,L,240,109,42,92,0.457,17,44,0.386,8,11,0.727,7,35,42,23,8,3,14,19,-10.0
22019,1610612742,DAL,Dallas Mavericks,0021900952,2020-03-08,DAL vs. IND,L,240,109,39,91,0.429,14,43,0.326,17,25,0.68,9,33,42,19,7,5,10,17,-3.0
22019,1610612742,DAL,Dallas Mavericks,0021900937,2020-03-06,DAL vs. MEM,W,239,121,45,95,0.474,18,47,0.383,13,17,0.765,13,35,48,30,11,9,10,11,25.0
22019,1610612742,DAL,Dallas Mavericks,0021900923,2020-03-04,DAL vs. NOP,W,264,127,44,95,0.463,22,50,0.44,17,24,0.708,6,43,49,30,6,13,16,17,4.0
22019,1610612742,DAL,Dallas Mavericks,0021900907,2020-03-02,DAL @ CHI,L,241,107,40,84,0.476,12,42,0.286,15,20,0.75,9,35,44,26,9,5,16,20,-2.0
22019,1610612742,DAL,Dallas Mavericks,0021900896,2020-03-01,DAL @ MIN,W,241,111,44,94,0.468,11,40,0.275,12,19,0.632,6,50,56,28,10,7,14,16,20.0
22019,1610612742,DAL,Dallas Mavericks,0021900880,2020-02-28,DAL @ MIA,L,240,118,40,84,0.476,21,50,0.42,17,19,0.895,4,31,35,25,0,3,11,25,-8.0
22019,1610612742,DAL,Dallas Mavericks,0021900869,2020-02-26,DAL @ SAS,W,241,109,36,86,0.419,17,45,0.378,20,30,0.667,5,38,43,25,11,9,15,20,6.0
22019,1610612742,DAL,Dallas Mavericks,0021900854,2020-02-24,DAL vs. MIN,W,242,139,51,101,0.505,16,44,0.364,21,28,0.75,14,40,54,28,7,3,12,28,16.0
22019,1610612742,DAL,Dallas Mavericks,0021900837,2020-02-22,DAL @ ATL,L,240,107,40,89,0.449,14,44,0.318,13,19,0.684,10,38,48,23,5,10,16,22,-4.0
22019,1610612742,DAL,Dallas Mavericks,0021900826,2020-02-21,DAL @ ORL,W,242,122,43,84,0.512,15,38,0.395,21,26,0.808,8,42,50,26,6,7,15,14,16.0
22019,1610612742,DAL,Dallas Mavericks,0021900814,2020-02-12,DAL vs. SAC,W,239,130,48,85,0.565,17,40,0.425,17,21,0.81,3,44,47,34,1,7,11,18,19.0
22019,1610612742,DAL,Dallas Mavericks,0021900798,2020-02-10,DAL vs. UTA,L,241,119,39,83,0.47,15,43,0.349,26,31,0.839,4,22,26,24,8,3,7,18,-4.0
22019,1610612742,DAL,Dallas Mavericks,0021900778,2020-02-08,DAL @ CHA,W,240,116,44,87,0.506,17,35,0.486,11,11,1.0,11,35,46,29,5,6,10,18,16.0
22019,1610612742,DAL,Dallas Mavericks,0021900770,2020-02-07,DAL @ WAS,L,239,118,42,91,0.462,16,40,0.4,18,21,0.857,15,34,49,27,7,2,13,21,-1.0
22019,1610612742,DAL,Dallas Mavericks,0021900761,2020-02-05,DAL vs. MEM,L,240,107,34,94,0.362,17,43,0.395,22,24,0.917,12,30,42,19,5,6,9,18,-14.0
22019,1610612742,DAL,Dallas Mavericks,0021900743,2020-02-03,DAL @ IND,W,239,112,36,86,0.419,18,45,0.4,22,23,0.957,12,39,51,20,3,2,12,15,9.0
22019,1610612742,DAL,Dallas Mavericks,0021900733,2020-02-01,DAL vs. ATL,W,240,123,44,94,0.468,20,39,0.513,15,16,0.938,10,43,53,26,6,8,9,14,23.0
22019,1610612742,DAL,Dallas Mavericks,0021900722,2020-01-31,DAL @ HOU,L,241,121,43,90,0.478,14,36,0.389,21,27,0.778,14,38,52,29,2,9,17,18,-7.0
22019,1610612742,DAL,Dallas Mavericks,0021900706,2020-01-28,DAL vs. PHX,L,240,104,37,83,0.446,7,33,0.212,23,27,0.852,8,25,33,19,6,0,15,18,-29.0
22019,1610612742,DAL,Dallas Mavericks,0021900697,2020-01-27,DAL @ OKC,W,239,107,41,99,0.414,19,51,0.373,6,9,0.667,12,44,56,21,3,3,7,16,10.0
22019,1610612742,DAL,Dallas Mavericks,0021900680,2020-01-25,DAL @ UTA,L,241,107,42,97,0.433,16,41,0.39,7,13,0.538,10,34,44,19,6,3,9,24,-5.0
22019,1610612742,DAL,Dallas Mavericks,0021900668,2020-01-23,DAL @ POR,W,240,133,48,93,0.516,22,47,0.468,15,24,0.625,12,29,41,27,5,7,8,17,8.0
22019,1610612742,DAL,Dallas Mavericks,0021900653,2020-01-21,DAL vs. LAC,L,239,107,39,91,0.429,12,43,0.279,17,24,0.708,12,37,49,23,7,8,12,28,-3.0
22019,1610612742,DAL,Dallas Mavericks,0021900625,2020-01-17,DAL vs. POR,W,241,120,39,89,0.438,20,47,0.426,22,28,0.786,13,30,43,19,6,4,13,17,8.0
22019,1610612742,DAL,Dallas Mavericks,0021900612,2020-01-15,DAL @ SAC,W,240,127,47,92,0.511,13,40,0.325,20,24,0.833,13,34,47,24,4,2,11,18,4.0
22019,1610612742,DAL,Dallas Mavericks,0021900602,2020-01-14,DAL @ GSW,W,238,124,49,96,0.51,13,37,0.351,13,21,0.619,15,38,53,23,5,2,7,17,27.0
22019,1610612742,DAL,Dallas Mavericks,0021900581,2020-01-11,DAL vs. PHI,W,241,109,40,79,0.506,11,27,0.407,18,27,0.667,11,43,54,22,4,8,15,20,18.0
