Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,65,James Paxton,ca CA,Pitcher,*,,34,L,L,"6' 4""",212,Nov 6 1988,2010,paxtoja01
2,18,Yoshinobu Yamamoto,jp JP,Pitcher,*,,24,R,R,"5' 10""",176,Aug 17 1998,2017,redirect.fcgi?player=1&mlb_ID=808967
3,21,Walker Buehler,us US,Pitcher,*,,28,R,R,"6' 2""",185,Jul 28 1994,2013,buehlwa01
4,31,Tyler Glasnow,us US,Pitcher,*,,29,L,R,"6' 8""",225,Aug 23 1993,2012,glasnty01
5,26,Tony Gonsolin,us US,Pitcher,*,,29,R,R,"6' 3""",205,May 14 1994,2013,gonsoto01
6,56,Ryan Yarbrough,us US,Pitcher,*,,31,R,L,"6' 5""",215,Dec 31 1991,2013,yarbrry01
7,,Ricky Vanasco,us US,Pitcher,*,,24,R,R,"6' 3""",180,Oct 13 1998,2017,redirect.fcgi?player=1&mlb_ID=676568
8,,Nick Frasso,us US,Pitcher,*,,24,R,R,"6' 5""",200,Oct 18 1998,2018,redirect.fcgi?player=1&mlb_ID=693308
9,78,Michael Grove,us US,Pitcher,*,,26,R,R,"6' 3""",200,Dec 18 1996,2016,grovemi01
10,,Matt Gage,us US,Pitcher,*,,30,L,L,"6' 3""",265,Feb 11 1993,2012,gagema01
11,,Landon Knack,us US,Pitcher,*,,25,L,R,"6' 2""",220,Jul 15 1997,2019,redirect.fcgi?player=1&mlb_ID=689017
12,63,Kyle Hurt,us US,Pitcher,*,,25,R,R,"6' 3""",240,May 30 1998,2018,hurtky01
13,,Joe Kelly,us US,Pitcher,*,,35,R,R,"6' 1""",174,Jun 9 1988,2009,kellyjo05
14,45,J.P. Feyereisen,us US,Pitcher,*,,30,R,R,"6' 2""",215,Feb 7 1993,2013,feyerjo01
15,58,Gus Varland,us US,Pitcher,*,,26,L,R,"6' 1""",213,Nov 6 1996,2016,varlagu01
16,51,Alex Vesia,us US,Pitcher,*,,27,L,L,"6' 1""",209,Apr 11 1996,2015,vesiaal01
17,49,Blake Treinen,us US,Pitcher,*,,35,R,R,"6' 5""",225,Jun 30 1988,2011,treinbl01
18,59,Evan Phillips,us US,Pitcher,*,,28,R,R,"6' 2""",215,Sep 11 1994,2013,phillev01
19,80,Emmet Sheehan,us US,Pitcher,*,,23,R,R,"6' 5""",220,Nov 15 1999,2018,sheehem01
20,85,Dustin May,us US,Pitcher,*,,25,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
21,28,Bobby Miller,us US,Pitcher,*,,24,L,R,"6' 5""",220,Apr 5 1999,2018,millebo06
22,48,Brusdar Graterol,ve VE,Pitcher,*,,24,R,R,"6' 1""",265,Aug 26 1998,2015,gratebr01
23,71,Gavin Stone,us US,Pitcher,*,,24,R,R,"6' 1""",175,Oct 15 1998,2018,stonega01
24,13,Max Muncy,us US,Position,*,,32,L,R,"6' 0""",215,Aug 25 1990,2010,muncyma01
25,17,Shohei Ohtani,jp JP,Position,*,,28,L,R,"6' 4""",210,Jul 5 1994,2013,ohtansh01
26,16,Will Smith,us US,Position,*,,28,R,R,"5' 10""",195,Mar 28 1995,2014,smithwi05
27,84,Andy Pages,cu CU,Position,*,,22,R,R,"6' 1""",212,Dec 8 2000,2018,redirect.fcgi?player=1&mlb_ID=681624
28,15,Austin Barnes,us US,Position,*,,33,R,R,"5' 10""",187,Dec 28 1989,2011,barneau01
29,50,Mookie Betts,us US,Position,*,,30,R,R,"5' 9""",180,Oct 7 1992,2011,bettsmo01
30,,Miguel Vargas,cu CU,Position,*,,23,R,R,"6' 3""",205,Nov 17 1999,2014,vargami01
31,11,Miguel Rojas,ve VE,Position,*,,34,R,R,"6' 0""",188,Feb 24 1989,2006,rojasmi02
32,3,Chris Taylor,us US,Position,*,,32,R,R,"6' 1""",196,Aug 29 1990,2011,tayloch03
33,76,Diego Cartaya,ve VE,Position,*,,21,R,R,"6' 3""",219,Sep 7 2001,2019,redirect.fcgi?player=1&mlb_ID=682616
34,25,Manuel Margot,do DO,Position,*,,28,R,R,"5' 11""",180,Sep 28 1994,2012,margoma01
35,23,Jason Heyward,us US,Position,*,,33,L,L,"6' 5""",240,Aug 9 1989,2007,heywaja01
36,,Teoscar Hernández,do DO,Position,*,,30,R,R,"6' 2""",215,Oct 15 1992,2011,hernate01
37,33,James Outman,us US,Position,*,,26,L,R,"6' 3""",215,May 14 1997,2016,outmaja01
38,5,Freddie Freeman,us US,Position,*,,33,L,R,"6' 5""",220,Sep 12 1989,2007,freemfr01
39,,Hunter Feduccia,us US,Position,*,,26,L,R,"6' 0""",215,Jun 5 1997,2016,redirect.fcgi?player=1&mlb_ID=676439
40,9,Gavin Lux,us US,Position,*,,25,L,R,"6' 2""",190,Nov 23 1997,2016,luxga01